_id/month,_id/year,total_fee,total_cost,total_management_interest,total_management_fee
10,2019,0,181,240.495,706.9811
11,2019,0,0,0.3195,3.5934
5,2019,329.56,0,0,0
9,2019,219.254,1024,725.5867,1345.5419
7,2019,959.07,72,148.7847,90.6853
8,2019,1731.2541,333,151.5157,200.7373
6,2019,78.96,0,102.13560000000001,136.0743
